customer_id,tenure_months,monthly_charges,contract_type,num_support_tickets,avg_satisfaction_score,customer_notes,churn_label
CUST-000018,7,84.39,month-to-month,1,9.87,Network performance has improved over the last quarter. The customer opened 1 support ticket(s) in the recent review window. Internal follow-up note: Contract customer billing renewal account pricing renewal usage.,0
CUST-000019,33,75.94,two-year,0,6.5,Recent support interactions were helpful and professional. The customer opened 0 support ticket(s) in the recent review window. Internal follow-up note: Team stability customer team customer account customer team.,0
CUST-000020,42,43.35,one-year,2,7.75,The onboarding experience was smooth. The customer opened 2 support ticket(s) in the recent review window.,0
CUST-000021,29,64.19,one-year,4,7.11,The service has been reliable lately. The customer opened 4 support ticket(s) in the recent review window. Internal follow-up note: Pricing support contract feedback account contract renewal pricing.,0
CUST-000022,21,84.61,month-to-month,6,5.37,The team scheduled a check-in call for next month. The customer opened 6 support ticket(s) in the recent review window.,1
CUST-000023,72,86.93,two-year,4,5.07,The customer mentioned the portal is easy to use. The customer opened 4 support ticket(s) in the recent review window. Primary issue category: billing issue.,1
CUST-000024,44,33.64,two-year,1,6.89,Network performance has improved over the last quarter. The customer opened 1 support ticket(s) in the recent review window. Primary issue category: contract clarification.,0
CUST-000025,27,69.79,one-year,1,6.75,They appreciate the current pricing plan. The customer opened 1 support ticket(s) in the recent review window. Internal follow-up note: Billing contract team stability renewal stability stability account.,1
CUST-000026,46,100.11,month-to-month,2,6.09,Recent support interactions were helpful and professional. The customer opened 2 support ticket(s) in the recent review window. Internal follow-up note: Pricing experience followup stability followup renewal renewal customer.,0
CUST-000027,9,75.39,month-to-month,4,5.74,The team scheduled a check-in call for next month. The customer opened 4 support ticket(s) in the recent review window.,0
CUST-000028,34,78.9,month-to-month,4,6.1,They appreciate the current pricing plan. The customer opened 4 support ticket(s) in the recent review window.,0
CUST-000029,66,83.64,month-to-month,5,2.91,The customer is actively comparing competitors. The customer opened 5 support ticket(s) in the recent review window. Internal follow-up note: Team team customer feedback followup account team pricing.,1
CUST-000030,22,74.62,one-year,2,8.86,The customer mentioned the portal is easy to use. The customer opened 2 support ticket(s) in the recent review window. Internal follow-up note: Team team renewal feedback stability stability pricing team.,0
CUST-000031,25,93.42,one-year,1,9.27,Recent support interactions were helpful and professional. The customer opened 1 support ticket(s) in the recent review window.,0
CUST-000032,41,67.9,two-year,1,7.79,The service has been reliable lately. The customer opened 1 support ticket(s) in the recent review window.,0
CUST-000033,31,101.01,month-to-month,1,7.54,Recent support interactions were helpful and professional. The customer opened 1 support ticket(s) in the recent review window.,0
CUST-000034,12,80.8,month-to-month,7,6.34,The customer asked for a usage summary before renewal. The customer opened 7 support ticket(s) in the recent review window.,0
CUST-000035,21,73.85,month-to-month,0,5.62,The service has been reliable lately. The customer opened 0 support ticket(s) in the recent review window.,0
CUST-000036,6,83.76,month-to-month,4,7.5,Network performance has improved over the last quarter. The customer opened 4 support ticket(s) in the recent review window.,0
CUST-000037,1,71.59,month-to-month,5,5.32,They reported unresolved billing disputes this month. The customer opened 5 support ticket(s) in the recent review window. Primary issue category: pricing complaint.,1
CUST-000038,15,92.07,month-to-month,6,8.35,The customer mentioned the portal is easy to use. The customer opened 6 support ticket(s) in the recent review window.,0
CUST-000039,15,79.9,month-to-month,3,6.13,The service has been reliable lately. The customer opened 3 support ticket(s) in the recent review window. Primary issue category: billing issue.,0
CUST-000040,17,63.53,one-year,3,7.31,The onboarding experience was smooth. The customer opened 3 support ticket(s) in the recent review window. Primary issue category: slow support response.,0
CUST-000041,37,88.32,month-to-month,4,5.94,The team scheduled a check-in call for next month. The customer opened 4 support ticket(s) in the recent review window.,0
CUST-000042,45,44.89,two-year,2,9.65,The onboarding experience was smooth. The customer opened 2 support ticket(s) in the recent review window.,0
CUST-000043,28,81.75,one-year,1,6.73,The customer mentioned the portal is easy to use. The customer opened 1 support ticket(s) in the recent review window. Internal follow-up note: Usage account renewal experience billing pricing billing experience.,0
CUST-000044,35,75.0,month-to-month,2,8.01,The customer mentioned the portal is easy to use. The customer opened 2 support ticket(s) in the recent review window. Internal follow-up note: Experience review renewal account experience experience experience usage.,0
CUST-000045,30,79.83,two-year,0,7.37,The customer mentioned the portal is easy to use. The customer opened 0 support ticket(s) in the recent review window.,0
CUST-000046,20,66.9,one-year,2,7.37,They appreciate the current pricing plan. The customer opened 2 support ticket(s) in the recent review window.,0
CUST-000047,32,91.09,month-to-month,4,5.67,The team scheduled a check-in call for next month. The customer opened 4 support ticket(s) in the recent review window. Internal follow-up note: Contract stability support service support service renewal stability.,1
CUST-000048,9,88.89,month-to-month,3,5.53,The onboarding experience was smooth. The customer opened 3 support ticket(s) in the recent review window. Internal follow-up note: Pricing service service pricing team team stability experience. Primary issue category: pricing complaint.,0
CUST-000049,16,83.53,one-year,3,3.27,The customer left brief feedback without strong sentiment. The customer opened 3 support ticket(s) in the recent review window. Internal follow-up note: Contract feedback service billing feedback contract support followup.,0
CUST-000050,72,80.54,month-to-month,0,8.04,They appreciate the current pricing plan. The customer opened 0 support ticket(s) in the recent review window.,1
CUST-000051,23,60.57,month-to-month,5,5.17,They contacted support for standard account maintenance. The customer opened 5 support ticket(s) in the recent review window.,1
CUST-000052,15,99.42,month-to-month,2,8.48,Network performance has improved over the last quarter. The customer opened 2 support ticket(s) in the recent review window.,0
CUST-000053,23,70.63,one-year,2,6.92,Network performance has improved over the last quarter. The customer opened 2 support ticket(s) in the recent review window. Internal follow-up note: Followup renewal renewal service pricing renewal review billing.,0
CUST-000054,24,82.73,one-year,2,8.27,Recent support interactions were helpful and professional. The customer opened 2 support ticket(s) in the recent review window. Internal follow-up note: Feedback feedback billing team stability team feedback review. Primary issue category: contract clarification.,0
CUST-000055,27,80.8,one-year,2,8.37,Network performance has improved over the last quarter. The customer opened 2 support ticket(s) in the recent review window.,0
CUST-000056,24,60.85,one-year,1,4.43,The service has been reliable lately. The customer opened 1 support ticket(s) in the recent review window. Primary issue category: service outage.,0
CUST-000057,42,67.63,month-to-month,4,6.42,The account owner requested a routine plan review. The customer opened 4 support ticket(s) in the recent review window.,0
CUST-000058,32,91.41,month-to-month,1,6.61,They appreciate the current pricing plan. The customer opened 1 support ticket(s) in the recent review window.,1
CUST-000059,17,80.69,month-to-month,3,7.79,Recent support interactions were helpful and professional. The customer opened 3 support ticket(s) in the recent review window.,0
CUST-000060,3,100.57,month-to-month,2,7.54,There was a general inquiry about available add-ons. The customer opened 2 support ticket(s) in the recent review window. Primary issue category: login trouble.,1
CUST-000061,23,69.37,one-year,1,8.08,The onboarding experience was smooth. The customer opened 1 support ticket(s) in the recent review window. Primary issue category: pricing complaint.,0
CUST-000062,22,98.37,month-to-month,6,3.77,There was a general inquiry about available add-ons. The customer opened 6 support ticket(s) in the recent review window.,1
CUST-000063,2,93.57,month-to-month,3,4.84,The latest support case took too long to close. The customer opened 3 support ticket(s) in the recent review window. Internal follow-up note: Usage pricing renewal customer support customer followup service.,1
CUST-000064,30,74.63,one-year,2,6.1,They appreciate the current pricing plan. The customer opened 2 support ticket(s) in the recent review window.,0
CUST-000065,10,68.96,one-year,3,3.85,There was a general inquiry about available add-ons. The customer opened 3 support ticket(s) in the recent review window. Internal follow-up note: Renewal service usage account renewal feedback pricing followup.,1
CUST-000066,44,83.33,month-to-month,4,3.97,The customer asked for a usage summary before renewal. The customer opened 4 support ticket(s) in the recent review window.,0
CUST-000067,21,100.92,month-to-month,5,3.39,The customer left brief feedback without strong sentiment. The customer opened 5 support ticket(s) in the recent review window. Primary issue category: contract clarification.,1
CUST-000068,14,84.72,month-to-month,5,3.95,The latest support case took too long to close. The customer opened 5 support ticket(s) in the recent review window. Internal follow-up note: Feedback account customer pricing feedback contract customer billing.,1
CUST-000069,26,90.76,month-to-month,3,6.21,The service has been reliable lately. The customer opened 3 support ticket(s) in the recent review window.,1
CUST-000070,25,84.15,month-to-month,2,6.89,The service has been reliable lately. The customer opened 2 support ticket(s) in the recent review window.,0
CUST-000071,24,85.42,month-to-month,0,7.28,Recent support interactions were helpful and professional. The customer opened 0 support ticket(s) in the recent review window.,0
CUST-000072,40,104.93,month-to-month,4,5.11,Recent support interactions were helpful and professional. The customer opened 4 support ticket(s) in the recent review window.,0
CUST-000073,27,80.96,two-year,0,6.05,The customer mentioned the portal is easy to use. The customer opened 0 support ticket(s) in the recent review window. Internal follow-up note: Service experience experience service billing service pricing usage. Primary issue category: billing issue.,1
CUST-000074,13,86.77,month-to-month,4,6.06,The customer asked for a usage summary before renewal. The customer opened 4 support ticket(s) in the recent review window.,0
CUST-000075,18,87.76,month-to-month,5,4.67,The team scheduled a check-in call for next month. The customer opened 5 support ticket(s) in the recent review window. Internal follow-up note: Team feedback service service followup pricing feedback usage. Primary issue category: login trouble.,1
CUST-000076,54,69.17,month-to-month,3,5.9,The onboarding experience was smooth. The customer opened 3 support ticket(s) in the recent review window. Internal follow-up note: Customer service stability renewal pricing review support support.,0
CUST-000077,12,83.42,month-to-month,1,4.82,There was a general inquiry about available add-ons. The customer opened 1 support ticket(s) in the recent review window.,1
CUST-000078,29,75.11,one-year,2,7.35,The service has been reliable lately. The customer opened 2 support ticket(s) in the recent review window.,0
CUST-000079,41,92.53,month-to-month,4,5.61,Recent support interactions were helpful and professional. The customer opened 4 support ticket(s) in the recent review window. Internal follow-up note: Usage renewal service contract team customer billing usage.,0
CUST-000080,31,80.91,one-year,0,7.44,Network performance has improved over the last quarter. The customer opened 0 support ticket(s) in the recent review window.,0
CUST-000081,23,56.33,one-year,1,8.19,The customer mentioned the portal is easy to use. The customer opened 1 support ticket(s) in the recent review window.,0
CUST-000082,26,97.0,month-to-month,3,6.52,They appreciate the current pricing plan. The customer opened 3 support ticket(s) in the recent review window.,0
CUST-000083,33,68.82,one-year,1,8.58,Network performance has improved over the last quarter. The customer opened 1 support ticket(s) in the recent review window.,0
CUST-000084,12,72.02,month-to-month,9,2.0,The customer is actively comparing competitors. The customer opened 9 support ticket(s) in the recent review window.,1
CUST-000085,22,102.75,month-to-month,1,5.83,Network performance has improved over the last quarter. The customer opened 1 support ticket(s) in the recent review window.,0
CUST-000086,72,99.49,month-to-month,4,7.23,Network performance has improved over the last quarter. The customer opened 4 support ticket(s) in the recent review window.,0
CUST-000087,30,74.29,one-year,1,7.82,The onboarding experience was smooth. The customer opened 1 support ticket(s) in the recent review window. Internal follow-up note: Customer experience support account experience contract contract support.,1
CUST-000088,24,93.6,month-to-month,5,7.5,The team scheduled a check-in call for next month. The customer opened 5 support ticket(s) in the recent review window. Internal follow-up note: Followup experience team account feedback review support team.,0
CUST-000089,17,95.68,month-to-month,2,8.03,Network performance has improved over the last quarter. The customer opened 2 support ticket(s) in the recent review window.,1
CUST-000090,12,105.38,month-to-month,7,5.07,They said the price feels too high for the value received. The customer opened 7 support ticket(s) in the recent review window. Internal follow-up note: Team support stability usage followup experience contract feedback.,1
CUST-000091,27,93.33,month-to-month,6,4.91,The team scheduled a check-in call for next month. The customer opened 6 support ticket(s) in the recent review window.,0
CUST-000092,28,52.37,one-year,6,3.63,They contacted support for standard account maintenance. The customer opened 6 support ticket(s) in the recent review window. Primary issue category: slow support response.,1
CUST-000093,21,112.36,month-to-month,3,5.26,The team scheduled a check-in call for next month. The customer opened 3 support ticket(s) in the recent review window. Primary issue category: billing issue.,0
CUST-000094,72,93.92,month-to-month,4,5.15,The team scheduled a check-in call for next month. The customer opened 4 support ticket(s) in the recent review window. Primary issue category: pricing complaint.,1
CUST-000095,13,78.53,month-to-month,6,4.05,The customer left brief feedback without strong sentiment. The customer opened 6 support ticket(s) in the recent review window. Internal follow-up note: Renewal usage usage customer service team experience service.,1
CUST-000096,15,58.89,one-year,2,5.44,The customer mentioned the portal is easy to use. The customer opened 2 support ticket(s) in the recent review window. Internal follow-up note: Followup service stability service experience service feedback followup. Primary issue category: pricing complaint.,0
CUST-000097,17,92.01,month-to-month,3,7.14,Recent support interactions were helpful and professional. The customer opened 3 support ticket(s) in the recent review window.,0
CUST-000098,21,80.32,month-to-month,1,9.33,Network performance has improved over the last quarter. The customer opened 1 support ticket(s) in the recent review window. Primary issue category: feature request.,0
CUST-000099,11,90.64,month-to-month,2,8.01,There was a general inquiry about available add-ons. The customer opened 2 support ticket(s) in the recent review window.,0
CUST-000100,32,73.65,two-year,0,7.02,They appreciate the current pricing plan. The customer opened 0 support ticket(s) in the recent review window. Internal follow-up note: Team review service team billing customer contract contract. Primary issue category: feature request.,0
CUST-000101,36,54.59,two-year,1,8.33,They appreciate the current pricing plan. The customer opened 1 support ticket(s) in the recent review window. Internal follow-up note: Review pricing billing contract experience review stability billing.,0
CUST-000102,35,54.07,one-year,4,6.37,They appreciate the current pricing plan. The customer opened 4 support ticket(s) in the recent review window. Primary issue category: service outage.,0
CUST-000103,15,90.7,month-to-month,7,4.47,They said the price feels too high for the value received. The customer opened 7 support ticket(s) in the recent review window.,1
CUST-000104,51,52.53,two-year,3,5.84,The onboarding experience was smooth. The customer opened 3 support ticket(s) in the recent review window.,0
CUST-000105,34,71.93,one-year,4,5.5,The customer mentioned the portal is easy to use. The customer opened 4 support ticket(s) in the recent review window. Internal follow-up note: Feedback stability usage support stability service billing feedback.,0
CUST-000106,13,54.85,one-year,4,7.18,Recent support interactions were helpful and professional. The customer opened 4 support ticket(s) in the recent review window. Primary issue category: service outage.,1
CUST-000107,11,82.49,month-to-month,2,7.16,Recent support interactions were helpful and professional. The customer opened 2 support ticket(s) in the recent review window.,0
CUST-000108,18,94.77,month-to-month,6,3.93,The customer left brief feedback without strong sentiment. The customer opened 6 support ticket(s) in the recent review window.,1
CUST-000109,28,91.44,month-to-month,0,6.39,Recent support interactions were helpful and professional. The customer opened 0 support ticket(s) in the recent review window. Internal follow-up note: Billing support pricing service usage contract contract account.,0
CUST-000110,33,52.02,two-year,3,6.49,The customer mentioned the portal is easy to use. The customer opened 3 support ticket(s) in the recent review window. Internal follow-up note: Pricing billing team renewal usage followup stability billing.,0
CUST-000111,34,65.52,month-to-month,6,5.7,The customer asked for a usage summary before renewal. The customer opened 6 support ticket(s) in the recent review window. Internal follow-up note: Usage account followup pricing team service team review.,1
CUST-000112,72,79.22,month-to-month,5,5.05,They contacted support for standard account maintenance. The customer opened 5 support ticket(s) in the recent review window. Primary issue category: contract clarification.,0
CUST-000113,4,95.13,month-to-month,5,4.66,The latest support case took too long to close. The customer opened 5 support ticket(s) in the recent review window. Internal follow-up note: Feedback stability renewal billing experience team followup support. Primary issue category: setup assistance.,1
CUST-000114,20,90.07,month-to-month,2,8.05,Network performance has improved over the last quarter. The customer opened 2 support ticket(s) in the recent review window.,0
CUST-000115,72,71.83,month-to-month,3,7.55,Recent support interactions were helpful and professional. The customer opened 3 support ticket(s) in the recent review window.,0
CUST-000116,37,66.51,two-year,0,5.09,They appreciate the current pricing plan. The customer opened 0 support ticket(s) in the recent review window.,0
CUST-000117,24,92.71,one-year,1,8.07,Network performance has improved over the last quarter. The customer opened 1 support ticket(s) in the recent review window.,0
CUST-000118,25,74.37,one-year,2,6.42,The onboarding experience was smooth. The customer opened 2 support ticket(s) in the recent review window.,0
CUST-000119,20,61.54,month-to-month,2,7.21,Recent support interactions were helpful and professional. The customer opened 2 support ticket(s) in the recent review window. Internal follow-up note: Followup review pricing support review followup feedback stability.,0
CUST-000120,19,75.42,one-year,2,8.44,The onboarding experience was smooth. The customer opened 2 support ticket(s) in the recent review window. Internal follow-up note: Review account service experience renewal contract usage support. Primary issue category: setup assistance.,1
CUST-000121,15,101.92,one-year,2,7.82,The service has been reliable lately. The customer opened 2 support ticket(s) in the recent review window. Internal follow-up note: Account account review contract account usage review renewal. Primary issue category: billing issue.,0
CUST-000122,24,53.66,one-year,3,6.9,Recent support interactions were helpful and professional. The customer opened 3 support ticket(s) in the recent review window. Primary issue category: login trouble.,0
CUST-000123,45,80.32,month-to-month,1,7.26,The customer mentioned the portal is easy to use. The customer opened 1 support ticket(s) in the recent review window. Internal follow-up note: Renewal stability team stability contract contract usage customer.,0
CUST-000124,16,81.95,month-to-month,4,4.75,The team scheduled a check-in call for next month. The customer opened 4 support ticket(s) in the recent review window. Internal follow-up note: Followup support contract billing service contract experience customer.,1
CUST-000125,34,83.22,month-to-month,6,3.06,The customer asked for a usage summary before renewal. The customer opened 6 support ticket(s) in the recent review window.,1
CUST-000126,38,83.88,month-to-month,3,7.53,They appreciate the current pricing plan. The customer opened 3 support ticket(s) in the recent review window.,0
CUST-000127,51,94.96,month-to-month,1,7.9,Recent support interactions were helpful and professional. The customer opened 1 support ticket(s) in the recent review window.,0
CUST-000128,11,87.21,month-to-month,1,5.82,They appreciate the current pricing plan. The customer opened 1 support ticket(s) in the recent review window.,0
CUST-000129,23,101.74,month-to-month,3,4.91,The account owner requested a routine plan review. The customer opened 3 support ticket(s) in the recent review window. Internal follow-up note: Experience support stability billing billing billing feedback pricing.,1
CUST-000130,17,71.29,one-year,3,5.59,They appreciate the current pricing plan. The customer opened 3 support ticket(s) in the recent review window. Internal follow-up note: Support experience pricing renewal followup renewal service customer.,0
CUST-000131,24,78.78,month-to-month,4,4.51,The onboarding experience was smooth. The customer opened 4 support ticket(s) in the recent review window. Internal follow-up note: Customer billing pricing review review experience pricing team. Primary issue category: feature request.,0
CUST-000132,36,53.15,two-year,1,8.66,The service has been reliable lately. The customer opened 1 support ticket(s) in the recent review window.,0
CUST-000133,15,47.86,one-year,2,7.42,They appreciate the current pricing plan. The customer opened 2 support ticket(s) in the recent review window. Internal follow-up note: Contract stability contract contract contract stability review support.,0
CUST-000134,25,87.36,month-to-month,2,6.41,Network performance has improved over the last quarter. The customer opened 2 support ticket(s) in the recent review window.,0
CUST-000135,72,95.76,one-year,4,8.32,The service has been reliable lately. The customer opened 4 support ticket(s) in the recent review window.,0
CUST-000136,31,88.84,month-to-month,3,4.76,They appreciate the current pricing plan. The customer opened 3 support ticket(s) in the recent review window.,0
CUST-000137,40,71.41,two-year,0,8.58,The onboarding experience was smooth. The customer opened 0 support ticket(s) in the recent review window. Internal follow-up note: Followup team stability review support usage feedback renewal.,0
CUST-000138,10,80.42,month-to-month,3,5.24,The customer asked for a usage summary before renewal. The customer opened 3 support ticket(s) in the recent review window.,0
CUST-000139,22,68.62,one-year,6,5.49,They appreciate the current pricing plan. The customer opened 6 support ticket(s) in the recent review window. Primary issue category: slow support response.,0
CUST-000140,11,99.8,month-to-month,3,6.04,They contacted support for standard account maintenance. The customer opened 3 support ticket(s) in the recent review window. Internal follow-up note: Account experience experience support team followup followup support. Primary issue category: billing issue.,1
CUST-000141,49,107.3,month-to-month,2,6.85,Network performance has improved over the last quarter. The customer opened 2 support ticket(s) in the recent review window. Internal follow-up note: Review account stability usage service followup support service.,0
CUST-000142,6,107.75,month-to-month,1,6.19,There was a general inquiry about available add-ons. The customer opened 1 support ticket(s) in the recent review window.,0
CUST-000143,35,73.97,two-year,1,5.86,Recent support interactions were helpful and professional. The customer opened 1 support ticket(s) in the recent review window.,0
CUST-000144,5,87.59,month-to-month,2,7.09,The customer asked for a usage summary before renewal. The customer opened 2 support ticket(s) in the recent review window.,1
CUST-000145,22,86.98,month-to-month,1,5.77,Network performance has improved over the last quarter. The customer opened 1 support ticket(s) in the recent review window.,0
CUST-000146,9,75.83,month-to-month,4,6.97,The customer mentioned the portal is easy to use. The customer opened 4 support ticket(s) in the recent review window. Primary issue category: service outage.,1
CUST-000147,35,61.43,month-to-month,5,5.76,Network performance has improved over the last quarter. The customer opened 5 support ticket(s) in the recent review window. Primary issue category: slow support response.,0
CUST-000148,44,64.3,month-to-month,3,6.24,Recent support interactions were helpful and professional. The customer opened 3 support ticket(s) in the recent review window.,0
CUST-000149,28,83.66,month-to-month,8,5.0,The customer asked for a usage summary before renewal. The customer opened 8 support ticket(s) in the recent review window. Internal follow-up note: Contract team stability account pricing followup service contract.,1
CUST-000150,45,75.81,month-to-month,1,6.34,The customer mentioned the portal is easy to use. The customer opened 1 support ticket(s) in the recent review window.,0
CUST-000151,45,40.33,two-year,2,8.09,The customer mentioned the portal is easy to use. The customer opened 2 support ticket(s) in the recent review window.,0
CUST-000152,48,59.84,two-year,2,7.95,They appreciate the current pricing plan. The customer opened 2 support ticket(s) in the recent review window.,0
CUST-000153,31,77.96,month-to-month,2,8.27,Network performance has improved over the last quarter. The customer opened 2 support ticket(s) in the recent review window. Internal follow-up note: Renewal contract team review followup service review pricing.,0
CUST-000154,34,65.46,month-to-month,2,6.77,The service has been reliable lately. The customer opened 2 support ticket(s) in the recent review window.,0
CUST-000155,30,77.42,month-to-month,2,8.12,Network performance has improved over the last quarter. The customer opened 2 support ticket(s) in the recent review window. Primary issue category: feature request.,0
CUST-000156,34,65.39,one-year,1,6.15,Network performance has improved over the last quarter. The customer opened 1 support ticket(s) in the recent review window. Internal follow-up note: Customer stability review experience pricing customer review support.,0
CUST-000157,25,74.87,month-to-month,2,6.67,Network performance has improved over the last quarter. The customer opened 2 support ticket(s) in the recent review window. Primary issue category: service outage.,0
CUST-000158,22,85.01,one-year,1,8.53,They appreciate the current pricing plan. The customer opened 1 support ticket(s) in the recent review window. Internal follow-up note: Review team customer billing renewal experience stability team.,0
CUST-000159,16,46.48,one-year,0,8.26,They appreciate the current pricing plan. The customer opened 0 support ticket(s) in the recent review window.,0
CUST-000160,49,39.38,one-year,0,6.77,Recent support interactions were helpful and professional. The customer opened 0 support ticket(s) in the recent review window. Primary issue category: billing issue.,0
CUST-000161,46,79.77,month-to-month,3,5.81,Recent support interactions were helpful and professional. The customer opened 3 support ticket(s) in the recent review window. Primary issue category: billing issue.,1
CUST-000162,46,62.07,two-year,2,5.93,The customer mentioned the portal is easy to use. The customer opened 2 support ticket(s) in the recent review window.,0
CUST-000163,36,87.18,month-to-month,1,5.63,The customer mentioned the portal is easy to use. The customer opened 1 support ticket(s) in the recent review window.,0
CUST-000164,42,72.89,month-to-month,2,8.57,Network performance has improved over the last quarter. The customer opened 2 support ticket(s) in the recent review window. Internal follow-up note: Billing usage service account account billing review review.,0
CUST-000165,31,69.57,month-to-month,4,6.72,They appreciate the current pricing plan. The customer opened 4 support ticket(s) in the recent review window. Internal follow-up note: Usage customer team support pricing followup usage service.,0
CUST-000166,48,79.26,month-to-month,2,6.12,The onboarding experience was smooth. The customer opened 2 support ticket(s) in the recent review window.,0
CUST-000167,47,54.36,two-year,0,6.32,The service has been reliable lately. The customer opened 0 support ticket(s) in the recent review window. Internal follow-up note: Pricing contract review experience team contract customer followup.,0
CUST-000168,72,88.71,one-year,3,5.4,The onboarding experience was smooth. The customer opened 3 support ticket(s) in the recent review window.,0
CUST-000169,15,80.76,month-to-month,3,5.81,The customer mentioned the portal is easy to use. The customer opened 3 support ticket(s) in the recent review window.,0
CUST-000170,45,60.16,two-year,1,6.94,The service has been reliable lately. The customer opened 1 support ticket(s) in the recent review window.,0
CUST-000171,29,117.44,month-to-month,4,7.27,The team scheduled a check-in call for next month. The customer opened 4 support ticket(s) in the recent review window.,1
CUST-000172,71,76.27,month-to-month,4,4.92,The service has been reliable lately. The customer opened 4 support ticket(s) in the recent review window.,0
CUST-000173,51,86.79,month-to-month,3,8.67,Recent support interactions were helpful and professional. The customer opened 3 support ticket(s) in the recent review window.,0
CUST-000174,39,71.03,two-year,1,5.94,The customer mentioned the portal is easy to use. The customer opened 1 support ticket(s) in the recent review window. Internal follow-up note: Support account account account customer account service followup.,0
CUST-000175,53,89.24,month-to-month,2,4.08,The service has been reliable lately. The customer opened 2 support ticket(s) in the recent review window.,0
CUST-000176,32,86.29,month-to-month,2,8.55,The customer mentioned the portal is easy to use. The customer opened 2 support ticket(s) in the recent review window. Internal follow-up note: Team feedback experience service stability stability billing usage.,0
CUST-000177,18,87.47,month-to-month,4,7.84,They contacted support for standard account maintenance. The customer opened 4 support ticket(s) in the recent review window.,1
CUST-000178,72,61.4,two-year,0,7.3,Network performance has improved over the last quarter. The customer opened 0 support ticket(s) in the recent review window.,0
CUST-000179,31,55.36,two-year,0,7.84,The onboarding experience was smooth. The customer opened 0 support ticket(s) in the recent review window. Internal follow-up note: Contract support team usage service account usage experience.,0
CUST-000180,47,72.1,one-year,2,7.31,Recent support interactions were helpful and professional. The customer opened 2 support ticket(s) in the recent review window. Internal follow-up note: Team service review customer feedback review experience contract.,0
CUST-000181,28,92.36,two-year,0,7.78,Network performance has improved over the last quarter. The customer opened 0 support ticket(s) in the recent review window. Internal follow-up note: Experience billing team pricing stability feedback experience stability.,0
CUST-000182,45,77.85,two-year,0,6.31,Network performance has improved over the last quarter. The customer opened 0 support ticket(s) in the recent review window.,0
CUST-000183,25,87.75,month-to-month,3,3.58,The customer left brief feedback without strong sentiment. The customer opened 3 support ticket(s) in the recent review window.,1
CUST-000184,11,98.0,month-to-month,1,5.68,The account owner requested a routine plan review. The customer opened 1 support ticket(s) in the recent review window.,0
CUST-000185,27,58.97,one-year,0,8.58,Network performance has improved over the last quarter. The customer opened 0 support ticket(s) in the recent review window.,0
CUST-000186,15,69.65,one-year,1,9.44,Recent support interactions were helpful and professional. The customer opened 1 support ticket(s) in the recent review window.,0
CUST-000187,72,92.27,month-to-month,2,6.44,They appreciate the current pricing plan. The customer opened 2 support ticket(s) in the recent review window.,0
